service_id,date,exception_type
MoTuWeThFr,20190628,2
Service1,20190618,1
MoTuWeThFr,20190902,2
MoTuWeThFr,20190618,2
Service1,20190624,1
MoTuWeThFr,20190712,2
Service2,20190716,1
Service1,20190712,1
Service2,20190722,1
MoTuWeThFr,20190722,2
MoTuWeThFr,20190624,2
Service2,20190715,1
MoTuWeThFr,20190715,2
Service1,20190701,1
MoTuWeThFr,20190701,2
Service1,20190620,1
MoTuWeThFr,20190620,2
MoTuWeThFr,20190617,2
MoTuWeThFr,20191225,2
Service2,20190725,1
MoTuWeThFr,20190725,2
Service1,20190617,1
MoTuWeThFr,20190711,2
Service1,20190711,1
MoTuWeThFr,20190625,2
Service1,20190625,1
MoTuWeThFr,20190717,2
Service2,20190717,1
MoTuWeThFr,20190705,2
MoTuWeThFr,20190716,2
Service1,20190702,1
MoTuWeThFr,20190702,2
Service1,20190621,1
MoTuWeThFr,20190621,2
MoTuWeThFr,20191111,2
MoTuWeThFr,20200101,2
MoTuWeThFr,20190724,2
MoTuWeThFr,20190710,2
MoTuWeThFr,20190626,2
Service2,20190724,1
Service1,20190710,1
Service1,20190626,1
MoTuWeThFr,20190704,2
MoTuWeThFr,20190718,2
Service2,20190718,1
Service1,20190705,1
Service1,20190709,1
MoTuWeThFr,20190619,2
MoTuWeThFr,20190709,2
Service1,20190619,1
MoTuWeThFr,20190723,2
Service1,20190627,1
MoTuWeThFr,20190627,2
Service2,20190723,1
MoTuWeThFr,20190719,2
Service2,20190719,1
MoTuWeThFr,20190703,2
Service1,20190703,1
MoTuWeThFr,20191128,2
Service1,20190628,1
MoTuWeThFr,20190708,2
Service1,20190708,1
