trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
t_297134_b_21608_tn_0,12:35:00,12:35:00,26244,1,0,1
t_297134_b_21608_tn_0,,,26079,2,0,0
t_297134_b_21608_tn_0,,,26080,3,0,0
t_297134_b_21608_tn_0,12:40:00,12:40:00,26161,4,0,0
t_297134_b_21608_tn_0,12:44:00,12:44:00,759043,5,0,0
t_297134_b_21608_tn_0,12:52:00,12:52:00,26199,6,0,0
t_297134_b_21608_tn_0,,,26200,7,0,0
t_297134_b_21608_tn_0,13:00:00,13:00:00,26202,8,0,0
t_297134_b_21608_tn_0,,,26203,9,0,0
t_297134_b_21608_tn_0,,,26205,10,0,0
t_297134_b_21608_tn_0,,,26086,11,0,0
t_297134_b_21608_tn_0,13:05:00,13:05:00,26087,12,0,0
t_297134_b_21608_tn_0,,,26088,13,0,0
t_297134_b_21608_tn_0,13:08:00,13:08:00,26089,14,0,0
t_297134_b_21608_tn_0,,,26091,15,0,0
t_297134_b_21608_tn_0,,,26092,16,0,0
t_297134_b_21608_tn_0,13:16:00,13:16:00,26099,17,0,0
t_297134_b_21608_tn_0,13:17:00,13:17:00,26141,18,1,0
t_31175_b_718_tn_0,13:40:00,13:40:00,844531,1,0,0
t_31175_b_718_tn_0,,,2434993,2,0,0
t_31175_b_718_tn_0,,,2434994,3,0,0
t_31175_b_718_tn_0,,,2434995,4,0,0
t_31175_b_718_tn_0,,,2434996,5,0,0
t_31175_b_718_tn_0,,,2434997,6,0,0
t_31175_b_718_tn_0,,,2434998,7,0,0
t_31175_b_718_tn_0,,,2434999,8,0,0
t_31175_b_718_tn_0,,,2435000,9,0,0
t_31175_b_718_tn_0,13:45:00,13:45:00,25988,10,0,0
t_31175_b_718_tn_0,,,25989,11,0,0
t_31175_b_718_tn_0,,,25990,12,0,0
t_31175_b_718_tn_0,13:50:00,13:50:00,25991,13,0,0
t_31175_b_718_tn_0,,,25992,14,0,0
t_31175_b_718_tn_0,,,25993,15,0,0
t_31175_b_718_tn_0,,,25994,16,0,0
t_31175_b_718_tn_0,,,25995,17,0,0
t_31175_b_718_tn_0,13:57:00,13:57:00,26099,18,0,0
t_31175_b_718_tn_0,,,25996,19,0,0
t_31175_b_718_tn_0,,,25998,20,0,0
t_31175_b_718_tn_0,,,25999,21,0,0
t_31175_b_718_tn_0,,,26000,22,0,0
t_31175_b_718_tn_0,,,26001,23,0,0
t_31175_b_718_tn_0,,,26002,24,0,0
t_31175_b_718_tn_0,,,26003,25,0,0
t_31175_b_718_tn_0,,,26004,26,0,0
t_31175_b_718_tn_0,14:06:00,14:06:00,26005,27,0,0
t_31175_b_718_tn_0,,,26006,28,0,0
t_31175_b_718_tn_0,,,26007,29,0,0
t_31175_b_718_tn_0,14:12:00,14:12:00,26008,30,0,0
t_31175_b_718_tn_0,,,26009,31,0,0
t_31175_b_718_tn_0,,,26010,32,0,0
t_31175_b_718_tn_0,,,26011,33,0,0
t_31175_b_718_tn_0,,,26012,34,0,0
t_31175_b_718_tn_0,,,26013,35,0,0
t_31175_b_718_tn_0,,,26014,36,0,0
t_31175_b_718_tn_0,,,26015,37,0,0
t_31175_b_718_tn_0,,,26016,38,0,0
t_31175_b_718_tn_0,,,26017,39,0,0
t_31175_b_718_tn_0,,,26018,40,0,0
t_31175_b_718_tn_0,14:23:00,14:23:00,26019,41,0,0
t_31175_b_718_tn_0,,,26020,42,0,0
t_31175_b_718_tn_0,,,26021,43,0,0
t_31175_b_718_tn_0,,,26022,44,0,0
t_31175_b_718_tn_0,,,26023,45,0,0
t_31175_b_718_tn_0,,,26024,46,0,0
t_31175_b_718_tn_0,,,26025,47,0,0
t_31175_b_718_tn_0,,,26026,48,0,0
t_31175_b_718_tn_0,,,26027,49,0,0
t_31175_b_718_tn_0,,,26292,50,0,0
t_31175_b_718_tn_0,14:32:00,14:32:00,26040,51,0,0
t_31175_b_718_tn_0,,,26029,52,0,0
t_31175_b_718_tn_0,,,26030,53,0,0
t_31175_b_718_tn_0,,,26031,54,0,0
t_31175_b_718_tn_0,,,26032,55,0,0
t_31175_b_718_tn_0,,,26033,56,0,0
t_31175_b_718_tn_0,,,26034,57,0,0
t_31175_b_718_tn_0,14:40:00,14:40:00,26035,58,1,0
t_32713_b_718_tn_0,10:35:00,10:35:00,26035,1,0,0
t_32713_b_718_tn_0,,,26036,2,0,0
t_32713_b_718_tn_0,,,26037,3,0,0
t_32713_b_718_tn_0,,,26038,4,0,0
t_32713_b_718_tn_0,,,26039,5,0,0
t_32713_b_718_tn_0,10:43:00,10:43:00,26040,6,0,0
t_32713_b_718_tn_0,,,26062,7,0,0
t_32713_b_718_tn_0,,,26063,8,0,0
t_32713_b_718_tn_0,,,26064,9,0,0
t_32713_b_718_tn_0,,,26066,10,0,0
t_32713_b_718_tn_0,,,26067,11,0,0
t_32713_b_718_tn_0,,,26068,12,0,0
t_32713_b_718_tn_0,,,26069,13,0,0
t_32713_b_718_tn_0,10:51:00,10:51:00,26070,14,0,0
t_32713_b_718_tn_0,,,26071,15,0,0
t_32713_b_718_tn_0,,,26072,16,0,0
t_32713_b_718_tn_0,,,26073,17,0,0
t_32713_b_718_tn_0,,,26074,18,0,0
t_32713_b_718_tn_0,,,26075,19,0,0
t_32713_b_718_tn_0,,,26076,20,0,0
t_32713_b_718_tn_0,,,26077,21,0,0
t_32713_b_718_tn_0,,,26078,22,0,0
t_32713_b_718_tn_0,,,26079,23,0,0
t_32713_b_718_tn_0,,,26080,24,0,0
t_32713_b_718_tn_0,11:02:00,11:02:00,26081,25,0,0
t_32713_b_718_tn_0,,,26082,26,0,0
t_32713_b_718_tn_0,,,26083,27,0,0
t_32713_b_718_tn_0,11:09:00,11:09:00,26084,28,0,0
t_32713_b_718_tn_0,,,26085,29,0,0
t_32713_b_718_tn_0,,,26086,30,0,0
t_32713_b_718_tn_0,,,26087,31,0,0
t_32713_b_718_tn_0,,,26088,32,0,0
t_32713_b_718_tn_0,,,26089,33,0,0
t_32713_b_718_tn_0,,,26090,34,0,0
t_32713_b_718_tn_0,,,26091,35,0,0
t_32713_b_718_tn_0,,,26093,36,0,0
t_32713_b_718_tn_0,11:17:00,11:17:00,26099,37,0,0
t_32713_b_718_tn_0,,,26094,38,0,0
t_32713_b_718_tn_0,,,26095,39,0,0
t_32713_b_718_tn_0,,,26096,40,0,0
t_32713_b_718_tn_0,,,26097,41,0,0
t_32713_b_718_tn_0,11:25:00,11:25:00,26098,42,0,0
t_32713_b_718_tn_0,11:28:00,11:28:00,2435001,43,0,0
t_32713_b_718_tn_0,,,2434985,44,0,0
t_32713_b_718_tn_0,,,2434986,45,0,0
t_32713_b_718_tn_0,,,2434987,46,0,0
t_32713_b_718_tn_0,,,2434988,47,0,0
t_32713_b_718_tn_0,,,2434989,48,0,0
t_32713_b_718_tn_0,,,2434990,49,0,0
t_32713_b_718_tn_0,,,2434991,50,0,0
t_32713_b_718_tn_0,,,2434992,51,0,0
t_32713_b_718_tn_0,11:33:00,11:33:00,844532,52,1,0
t_34203_b_718_tn_0,18:12:00,18:12:00,26051,1,0,1
t_34203_b_718_tn_0,,,26052,2,0,0
t_34203_b_718_tn_0,,,26053,3,0,0
t_34203_b_718_tn_0,,,26054,4,0,0
t_34203_b_718_tn_0,,,26055,5,0,0
t_34203_b_718_tn_0,,,26056,6,0,0
t_34203_b_718_tn_0,18:17:00,18:17:00,26057,7,0,0
t_34203_b_718_tn_0,,,26058,8,0,0
t_34203_b_718_tn_0,,,26059,9,0,0
t_34203_b_718_tn_0,,,26060,10,0,0
t_34203_b_718_tn_0,18:21:00,18:21:00,26163,11,0,0
t_34203_b_718_tn_0,,,26029,12,0,0
t_34203_b_718_tn_0,,,26030,13,0,0
t_34203_b_718_tn_0,,,26031,14,0,0
t_34203_b_718_tn_0,,,26032,15,0,0
t_34203_b_718_tn_0,,,26033,16,0,0
t_34203_b_718_tn_0,,,26034,17,0,0
t_34203_b_718_tn_0,18:26:00,18:26:00,26035,18,1,0
t_35387_b_718_tn_0,14:45:00,14:45:00,26035,1,0,0
t_35387_b_718_tn_0,,,26036,2,0,0
t_35387_b_718_tn_0,,,26037,3,0,0
t_35387_b_718_tn_0,,,26038,4,0,0
t_35387_b_718_tn_0,,,26039,5,0,0
t_35387_b_718_tn_0,14:53:00,14:53:00,26040,6,0,0
t_35387_b_718_tn_0,,,26062,7,0,0
t_35387_b_718_tn_0,,,26063,8,0,0
t_35387_b_718_tn_0,,,26064,9,0,0
t_35387_b_718_tn_0,,,26066,10,0,0
t_35387_b_718_tn_0,,,26067,11,0,0
t_35387_b_718_tn_0,,,26068,12,0,0
t_35387_b_718_tn_0,,,26069,13,0,0
t_35387_b_718_tn_0,15:01:00,15:01:00,26070,14,0,0
t_35387_b_718_tn_0,,,26071,15,0,0
