stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
2435001,2435001,"S Averill Ave & W 8th St",,33.73706,-118.30768
2435000,2435000,"W 7th St & S Butte St",,33.73798,-118.30637
26009,26009,"Crenshaw Blvd. & Crestridge",,33.76695,-118.37205
26008,26008,"Crossfield Dr. at Silver Spur Rd. (close walk to PHS)",,33.77363,-118.37457
26005,26005,"Crenshaw Blvd. at Palos Verdes Dr. N.",,33.7823,-118.35258
26004,26004,"P.V. Dr. N./Rolling Hills (Kelly's Korner)",,33.77645,-118.34348
26007,26007,"Silver Spur Rd. at Drybank Dr.",,33.77207,-118.37153
26006,26006,"Silver Spur Rd. Beechgate Dr.",,33.77036,-118.36703
26000,26000,"Conestoga",,33.76778,-118.32291
26001,26001,"P.V. Dr. North/East",,33.77288,-118.32716
26002,26002,"P.V. Dr. North/Dapplegray Lane",,33.7722,-118.33076
26003,26003,"Dapplegray School",,33.77313,-118.338989
26207,26207,"Rolling Hills Rd./Shadow Lane",,33.78244,-118.34116
26206,26206,"PV Dr. North/Portuguese Bend Rd.",,33.77622,-118.3437
26209,26209,"P.V. Dr. North/Crenshaw Bl.(RHE City Hall)",,33.78318,-118.35291
26208,26208,"Rolling Hills/Crenshaw",,33.78814,-118.3405
26203,26203,"Rolling Hills Rd./Shadow Ln.",,33.78275,-118.34114
26202,26202,"Rolling Hills/Crenshaw",,33.788,-118.34067
26205,26205,"P.V. Dr. North: (bus stops at Kelly's Corner)",,33.7773,-118.34341
26204,26204,"PV Dr. North/Monticello",,33.7748,-118.32134
758730,758730,"Ridgecrest School",,33.76572,-118.3782
26200,26200,"P.V. Dr. North/Academy Rd.",,33.78346,-118.35399
26039,26039,"Palos Verdes Blvd. at Paseo De La Plya",,33.80506,-118.39061
26037,26037,"Palos Verdes Blvd. Calle Miramar",,33.81105,-118.38691
26038,26038,"Palos Verdes Blvd. at Calle Mayor",,33.80817,-118.3887
26193,26193,"Silver Spur School (Montemalaga Dr./Basswood Ave.)",,33.78756,-118.37653
26192,26192,"Coronel Plaza (Via Margarita/Via Coronel)",,33.7843,-118.39184
26191,26191,"Via Coronel/Paseo La Cresta",,33.78542,-118.39905
26036,26036,"Palos Verdes Blvd. at Catalina Ave.",,33.81513,-118.38656
26292,26292,"Palos Verdes Dr. N. at Via Alameda",,33.80228,-118.38109
